title,lyrics
Lend Me Your Comb,"Lend me your comb
It's time to go home 
I got to go past
My hair is a mess 

Your 
mammie
 will scold
Your 
pappie
 will shout
Unless we come in 
The way we went out

Kissing you was fun 
honey
 
But 
thanks
 for the date
But I must come to run 
honey
 
But you know baby it's 
getting
 late

Just wait till I say
My darling
Lend me your comb
We got to go home
Kissing you was fun honey

But 
thanks
 for the date 
But I must come to run, honey
But sugar, it's 
getting
 late

Just wait till I 
Say, my darling
Lend me your comb
We got to go home"
Mr. Moonlight,"Mister Moonlight
You came to me one summer night
And from your beam you made my dream
And from the world you sent my girl
And from above you sent us love
And now she is mine, I think you're fine
'Cause we love you Mister Moonlight

Mister Moonlight come again please
Here I am on my knees begging if you please
And the night you don't come my way
I pray and pray more each day
'Cause we love you Mister Moonlight

And the night you don't come my way
I pray and pray more each day
'Cause we love you Mister Moonlight

Mister Moonlight come again please
Here I am on my knees begging if you please
And the night you don't come my way
I pray and pray more each day
'Cause we love you Mister Moonlight
Mister Moonlight"
A Taste of Honey,Lyrics not found for 'A Taste of Honey' by 'The Beatles'.
Besame Mucho,"Besame 
besame
 mucho,
Each time I 
bring
 you a kiss
I hear 
music
 divine.
So 
besame
 besame mucho,
I love you for ever,
Say that you'll 
always
 be mine.

Dearest one, if you 
should
 leave me
Then each 
little
 dream will take wings
And my life 
would
 be through.
Oh 
besame
 besame mucho,
I love you for ever,
You make all my 
dreams
 come true.

Oh this joy is 
something
 new,
My arms they're 
holding
 you,
I 
never
 knew this 
thrill
 before.
Who ever 
thought
 I'd be
Holding you 
close
 to me
Whispering: it's you I adore.

Yes so 
dearest
 one, if you 
should
 leave me
Then each 
little
 dream will take wings,
And my life 
would
 be through.

Oh so 
besame
 besame mucho,
I love you for ever,
Make all my 
dreams
 come true.
Oh this joy is 
something
 new,
My arms are 
holding
 you,
I 
never
 knew this 
thrill
 before.
Who ever 
thought
 I'd be
Holding you 
close
 to me
Whispering it's you I adore.

Oh so 
dearest
 one, if you 
should
 leave me,
Then each 
little
 dream will take wings
And my life 
would
 be through.

Oh so 
besame
 besame mucho,
I love you for ever,
Make all my 
dreams
 come true.
I love you for ever,
Make all my 
dreams
 come true.
I love you for ever,
Make all my 
dreams
 come true."
"Here, There and Everywhere","To lead a 
better
 life
I need my love to be here

Here, 
making
 each day of the year
Changing my life with a wave of her hand
Nobody can deny that there's 
something
 there
There, 
running
 my 
hands
 through her hair
Both of us 
thinking
 how good it can be
Someone is speaking, but she doesn't know he's there

[Chorus: x2]
I want her everywhere
And if she's 
beside
 me I know I need 
never
 care
But to love her is to need her everywhere
Knowing that love is to share
Each one 
believing
 that love 
never
 dies
Watching her eyes and 
hoping
 I'm 
always
 there

I will be there
And everywhere
Here, 
there
 and everywhere"
Love Me Do,"Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do

Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do

Someone to love
Somebody new
Someone to love
Someone like you

Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do

Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do
Yeah, love me do
Whoa, oh, love me do"
Roll Over Beethoven,"I'm 
gonna
 write a 
little
 letter,
Gonna mail it to my 
local
 DJ
It's a rockin' 
rhythm
 record 
I want my 
jockey
 to play
Roll Over Beethoven, I 
gotta
 hear it 
again
 today

You know, my temperature's risin' 
And the 
jukebox
 blows a fuse
My heart's beatin' 
rhythm
 
And my soul 
keeps
 on singin' the blues
Roll Over 
Beethoven
 and tell 
Tchaikovsky
 the news

I got the rockin' pneumonia, 
I need a shot of 
rhythm
 and blues
I 
think
 I'm rollin' 
arthritis
 
Sittin' down by the 
rhythm
 review
Roll Over 
Beethoven
 rockin' in two by two

Well, if you feel you like it
Go get your lover, then reel and rock it
Roll it over and move on up just
A 
trifle
 further and reel and rock it,
Roll it over,
Roll Over 
Beethoven
 rockin' in two by two

Well, 
early
 in the mornin' I'm a-givin' you a warnin' 
Don't you step on my blue 
suede
 shoes
Hey 
diddle
 diddle, I am playin' my fiddle,
Ain't got nothin' to lose
Roll Over 
Beethoven
 and tell 
Tschaikowsky
 the news

You know she 
wiggles
 like a glow worm,
Dance like a spinnin' top
She got a 
crazy
 partner, 
Oughta see 'em reel and rock
Long as she got a dime the 
music
 will 
never
 stop

Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven,
Roll Over 
Beethoven
 and dig 
these
 rhythm and blues"
Why (Can't You Love Me Again),"Why why can't we love again? 
Why why are you shy on love? 
If you only knew how much I love you, 
Why can't you love me again? 

Why why don't you open your heart? 
Why why are we so far apart? 
If you only knew how much I love you, 
Why can't you love me again? 

I just want your loving arms around me, yeah, 
I got to find a way to make you take me back. 

Baby won't you tell me 
Why why why why are we so far apart? 
Why why don't you open your heart? 
If you only knew how much I love you, 
Why can't you love me again? 

I just want your loving arms around me, yeah, 
I got to find a way to make you take me back. 

Baby won't you tell me 
Why why why why are we so far apart? 
Why why don't you open your heart? 
If you only knew how much I love you, 
Why can't you love me 
Why can't you love me 
Why can't you love me again?"
"Ya, Ya","Oh, well, I'm sittin' here, la, la
Waiting for my ya ya
Uh huh, uh huh
I'm sittin' here, la, la
Waiting for my ya ya
Uh huh, uh huh
It may 
sound
 funny
But I don't 
believe
 she's comin'
Uh huh, uh huh

Baby, honey, don't 
leave
 me worried
Uh huh, uh huh
Ye, baby, honey, don't 
leave
 me worried
Uh huh
You know that I love you
Oh, how I love you
Uh huh, uh huh

I'm sittin' here, la, la
Waiting for my ya ya
Uh huh, uh huh
I'm sittin' here, la, la
Waiting for my ya ya
Uh huh, uh huh
It may 
sound
 funny
But I don't 
believe
 she's comin'
Uh huh, uh huh

Baby, honey, don't 
leave
 me worried
Uh huh, uh huh
Ye, baby, honey, don't 
leave
 me worried
Uh huh
You know how I love you
Oh, how I love you
Uh huh, uh huh

I'm sittin' here, la, la
Waiting for my ya ya
Uh huh, uh huh
I'm sittin' here, la, la
Waiting for my ya ya
Uh huh, uh huh
It may 
sound
 funny
But I don't 
believe
 she's comin'
Uh huh, uh huh

Baby, honey, don't 
leave
 me worried
Uh huh
Ye, baby, honey, don't 
leave
 me worried
Uh huh, uh huh"
What'd I Say,"Hey mama, don't you treat me wrong
Come and love your daddy all night long
All right, hey, hey, all right now

See the girl with the diamond ring
She knows how to shake that thing
All right, hey, hey, mmm, all right now

Ahhh, ohh, ahhh, ohh, ahhh, ohh, ohh

Make me feel so good, make me feel so good right now
Make me feel so good, make me feel so good right now
Make me feel so good, make me feel so good

Mmm, see the girl with the red dress on
She can do the dog all night long
All right, hmm what'd I say, tell me what'd I say

Tell me what'd I say, tell me what'd I say right now
Tell me what'd I say, tell me what'd I say right now
Tell me what'd I say, tell me what'd I say

Ahhh, ohh, ahhh, ohh, ahhh, ohh, ohh
It's all right, it's all right right now
Baby, it's all right, baby, it's all right right now
Baby, it's all right, oh yeah!

Baby shake that thing, baby shake that thing right now
Baby shake that thing, baby shake that thing right now
Baby shake that thing, well I feel all right"
Ruby Baby,"No, rock and roll, this is how you do rock n' roll
Rockin' Ruby
Here's how you sing it

Well now I gotta girl now and Ruby is her name
Let's see I need some beat boys
Well this girl don't love me, but I love her just the same
Pick it up boys
Woah oh oh Ruby Ruby
How I want you
Like a ghost I'm a gonna haunt you
Ruby Ruby, Ruby will you be mine
Ruby Ruby Ruby baby

Well now each time I see you, baby my heart cries
Ruby Ruby Ruby baby
Ah it does Ruby

Well now I'm gonna steal you away from all those guys
Ruby Ruby Ruby baby
Whoa oh oh oh oh oh
From the happy day I met you
I made a bet that I was gonna get you
Umm?
Ruby will you be mine

Let's oink awhile
Oink oink
Oink oink
Bow
Oink oink bow
Whoa oh oh oh oh
Bow
Oink oink
Woof woof

Well I gotta girl I said Ruby is her name
What's her name?
Ruby
Carol
When this girl looks at me she just sets my soul aflame
Ruby Ruby Ruby baby
Whoa oh oh oh oh
Forgot it
What are you gonna do now?

Aba zaba aba zaba zaba doo
Ruby Ruby Ruby Ruby Ruby Ruby baby
You always forget the words, every time"
Unchained Melody,"Oh my love
My darling
I've hungered for your touch
A long lonely time

And time goes by so slowly
And time can do so much
Are you still mine?
I need your love
I need your love
God speed your love
To me

Lonely rivers flow
To the sea
To the sea
To the open arms
Of the sea
Lonely rivers sigh
""Wait for me, wait for me""
I'll be coming home
Wait for me

Oh my love
My darling
I've hungered for your touch
A long lonely time

And time goes by so slowly
And time can do so much
Are you still mine?
I need your love
I need your love
God speed your love
To me"
Twist and Shout,"Well, shake it up baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
Well, work it on out, honey
You know you look so good
You know you got me goin' now
Just like I know you would

Well, shake it up baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
You know you twist, little girl
You know you twist so fine
Come on and twist a little closer now
And let me know that you're mine, woo

Ah, ah, ah, ah, wow
Baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
You know you twist, little girl
You know you twist so fine
Come on and twist a little closer now
And let me know that you're mine
Well, shake it, shake it, shake it, baby now
Well, shake it, shake it, shake it, baby now
Well, shake it, shake it, shake it, baby now
Ah, ah, ah, ah"
She Loves You,"She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah

You 
think
 you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's 
thinking
 of
And she told me what to say-yi-yay

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

She said you hurt her so
She 
almost
 lost her mind
And now she says she knows
You're not the 
hurting
 kind

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad

You know it's up to you
I 
think
 it's only fair
Pride can hurt you too
Apologize to her

Because she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad
With a love like that
you know you 
should
 be glad
With a love like that
you know you 
should
 be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah"
I Want to Hold Your Hand,"Oh yeah I tell you somethin'
I 
think
 you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

Oh 
please
 say to me
You'll let me be your man
And 
please
 say to me
You'll let me hold your hand
Now, let me hold your hand
I want to hold your hand

And when I 
touch
 you
I feel 
happy
 inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I 
think
 you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

And when I 
touch
 you
I feel 
happy
 inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I 
think
 you'll understand
When I feel that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand
I want to hold your hand"
A Hard Day's Night,"It's been a hard day's night, and I been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I'll find the things that you do
Will make me feel alright

You know I work all day to get you money to buy you things
And it's worth it just to hear you say you're going to give me everything
So why on earth should I moan, 'cause when I get you alone
You know I feel ok

When I'm home everything seems to be right
When I'm home feeling you holding me tight, tight

Owww!
So why on earth should I moan, 'cause when I get you alone
You know I feel ok

When I'm home everything seems to be right
When I'm home feeling you holding me tight, tight, yeah

It's been a hard day's night, and I been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I'll find the things that you do
Will make me feel alright
You know I feel alright
You know I feel alright..."
She Loves You,"She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah

You 
think
 you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's 
thinking
 of
And she told me what to say-yi-yay

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

She said you hurt her so
She 
almost
 lost her mind
And now she says she knows
You're not the 
hurting
 kind

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad

You know it's up to you
I 
think
 it's only fair
Pride can hurt you too
Apologize to her

Because she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad
With a love like that
you know you 
should
 be glad
With a love like that
you know you 
should
 be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah"
Do You Want to Know a Secret,"You'll 
never
 know how much I 
really
 love you
You'll 
never
 know how much I 
really
 care
Listen do you want to know a secret
Do you 
promise
 not to tell woh woh woh closer
Let me 
whisper
 in your ear
Say the 
words
 you long to hear
I'm in love with you oo
I've 
known
 the 
secret
 for a week or two
Nobody 
knows
 just we two
Listen do you want to know a secret
Do you 
promise
 not to tell woh woh woh closer
Let me 
whisper
 in your ear
Say the 
words
 you long to hear
I'm in love with you oo"
Roll Over Beethoven,"I'm 
gonna
 write a 
little
 letter,
Gonna mail it to my 
local
 DJ
It's a rockin' 
rhythm
 record 
I want my 
jockey
 to play
Roll Over Beethoven, I 
gotta
 hear it 
again
 today

You know, my temperature's risin' 
And the 
jukebox
 blows a fuse
My heart's beatin' 
rhythm
 
And my soul 
keeps
 on singin' the blues
Roll Over 
Beethoven
 and tell 
Tchaikovsky
 the news

I got the rockin' pneumonia, 
I need a shot of 
rhythm
 and blues
I 
think
 I'm rollin' 
arthritis
 
Sittin' down by the 
rhythm
 review
Roll Over 
Beethoven
 rockin' in two by two

Well, if you feel you like it
Go get your lover, then reel and rock it
Roll it over and move on up just
A 
trifle
 further and reel and rock it,
Roll it over,
Roll Over 
Beethoven
 rockin' in two by two

Well, 
early
 in the mornin' I'm a-givin' you a warnin' 
Don't you step on my blue 
suede
 shoes
Hey 
diddle
 diddle, I am playin' my fiddle,
Ain't got nothin' to lose
Roll Over 
Beethoven
 and tell 
Tschaikowsky
 the news

You know she 
wiggles
 like a glow worm,
Dance like a spinnin' top
She got a 
crazy
 partner, 
Oughta see 'em reel and rock
Long as she got a dime the 
music
 will 
never
 stop

Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven,
Roll Over 
Beethoven
 and dig 
these
 rhythm and blues"
I'll Follow the Sun,"One day, you'll look
To see I've gone
But tomorrow may rain, so
I'll follow the sun
One day, you'll know
I was the one
But tomorrow may rain, so
I'll follow the sun
And now the time has come
And so, my love, I must go
And though I lose a friend
In the end you will know
Oh-oh-oh
One day, you'll find
That I have gone
But tomorrow may rain, so
I'll follow the sun

And now the time has come
And so, my love, I must go
And though I lose a friend
In the end you will know
Oh-oh-oh
One day, you'll find
That I have gone
But tomorrow may rain, so
I'll follow the sun"
Baby's in Black,"Oh dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

She 
thinks
 of him
And so she 
dresses
 in black
And 
though
 he'll 
never
 come back
She's 
dressed
 in black

Oh dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

I 
think
 of her
But she only 
thinks
 of him
And 
though
 it's only a whim
She 
thinks
 of him

Oh how long will it take
Till she sees the 
mistake
 she has made?
Dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

Oh how long it will take
Till she sees the 
mistake
 she has made?
Dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

She 
thinks
 of him
And so she 
dresses
 in black
And 
though
 he'll 
never
 come back
She's 
dressed
 in black

Oh dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?"
Long Tall Sally,"I'm 
gonna
 tell aunt Mary 'bout 
uncle
 John
He said he had the 
misery
 but he got a lot of fun
Oh baby, yeah now baby, woo baby 
Some fun tonight

I saw 
uncle
 John with long tall Sally
He saw aunt Mary comin' and he 
ducked
 back in the alley
Oh baby, yeah now baby, woo baby
Some fun tonight

Well, long tall Sally's 
built
 pretty sweet
She got 
everything
 that 
uncle
 John needs
Oh baby, yeah now baby, woo baby
Some fun tonight

Well, we're 
gonna
 have some fun tonight
Have some fun tonight, oh
Everything's all right
Have some fun tonight
Have some fun, yeah, yeah, yeah

We're 
gonna
 have some fun tonight
Have some fun tonight
Everything's all right
Have some fun tonight
Yeah, we'll have some fun
Some fun tonight"
Please Please Me,"Last 
night
 I said 
these
 words to my girl
I know you 
never
 even try, girl
Come on, (come on) come on, (come on) come on, (come on) come on, (come on) 
Please, 
please
 me, woah yeah, like I 
please
 you

You don't need me to show the way, love
Why do I 
always
 have to say, love
Come on, (come on) come on, (come on) come on, (come on) come on, (come on) 
Please, 
please
 me, woah yeah, like I 
please
 you

I don't want to 
sound
 complaining
But you know there's 
always
 rain in my 
heart
 (in my heart)
I do all the 
pleasing
 with you
It's so hard to 
reason
 with you
Woah yeah, why do you make me blue?

Last 
night
 I said 
these
 words to my girl
I know you 
never
 even try, girl
Come on, (come on) come on, (come on) come on, (come on) come on, (come on) 
Please, 
please
 me, woah yeah, like I 
please
 you
Me, woah yeah, like I 
please
 you
Me, woah yeah, like I 
please
 you"
Rock 'n' Roll Music,Lyrics not found for 'Rock 'n' Roll Music' by 'The Beatles'.
And I Love Her,"I give her all my love
That's all I do
And if you saw my love
You'd love her to
I love her

She 
gives
 my everything
And tenderly
The kiss my 
lover
 brings
She 
brings
 to me
And I love her

A love like ours
Could 
never
 die
As long as I
Have you near me

Bright are the 
stars
 that shine
Dark is the sky
I know this love of mine
Will 
never
 die
And I love her

Bright are the 
stars
 that shine
Dark is the sky
I know this love of mine
Will 
never
 die
And I love her, ooh"
I Call Your Name,"I call your name but you're not there
Was I to 
blame
 for 
being
 unfair
Oh, I can't 
sleep
 at night
Since you've been gone
I 
never
 weep at night
I can't go on

Don't you know I can't take it
I don't know who can
I'm not 
going
 to make it
I'm not that kind of man

Oh, I can't 
sleep
 at night
But just the same
I 
never
 weep at night
I call your name

Don't you know I can't take it
I don't know who can
I'm not 
going
 to make it
I'm not that kind of man

Oh, I can't 
sleep
 at night
But just the same
I 
never
 weep at night
I call your name
I call your name
I call your name
I call your name"
No Reply,"This 
happened
 once before,
When I came to your door,
No reply.
They said it wasn't you,
But I saw you peep 
through
 your window,
I saw the light, I saw the light,
I know that you saw me,
'Cause I 
looked
 up to see your face.

I 
tried
 to telephone,
They said you were not home,
That's a lie,
'Cause I know 
where
 you've been,
I saw you walk in your door,
I 
nearly
 died, I 
nearly
 died,
'Cause you 
walked
 hand in hand
With 
another
 man in my place.

If I were you I'd 
realize
 that I
Love you more than any 
other
 guy,
And I'll 
forgive
 the lies that I
Heard 
before
 when you gave me no reply.

I've 
tried
 to telephone,
They said you were not home,
That's a lie,
'Cause I know 
where
 you've been,
I saw you walk in your door,
I 
nearly
 died, I 
nearly
 died,
'Cause you 
walked
 hand in hand
With 
another
 man in my place.

No reply, no reply."
I Wanna Be Your Man,"I want to be your lover baby, 
I want to be your man, 
I want to be your lover baby, 
I want to be your man. 
Love you like no other baby, 
Like no other can, 
Love you like no other baby, 
Like no other can. 

I want to be your man, I want to be your man, 
I want to be your man, I want to be your man. 

Tell me that you love me baby, 
Let me understand, 
Tell me that you love me baby, 
I want to be your man. 
I want to be your lover baby, 
I want to be your man, 
I want to be your lover baby, 
I want to be your man. 

I want to be your man, I want to be your man, 
I want to be your man, I want to be your man. 

I want to be your lover baby, 
I want to be your man, 
I want to be your lover baby, 
I want to be your man. 
Love you like no other baby, 
Like no other can, 
Love you like no other baby, 
Like no other can. 

I want to be your man, I want to be your man, 
I want to be your man, I want to be your man. 
I want to be your man, I want to be your man."
I Feel Fine,"Baby's good to me, you know
She's 
happy
 as can be, you know
She said so
I'm in love with her and I feel fine

Baby says she's mine, you know
She 
tells
 me all the time, you know
She said so
I'm in love with her and I feel fine

I'm so glad that she's my 
little
 girl
She's so glad, she's 
telling
 all the world
That here baby buys her things, you know
He buys her 
diamond
 rings, you know
She said so
She's in love with me and I feel fine

Baby says she's mine, you know
She 
tells
 me all the time, you know
She said so
I'm in love with her and I feel fine

I'm so glad that she's my 
little
 girl
She's so glad, she's 
telling
 all the world
That her baby buys her things, you know
He buys her 
diamond
 rings, you know
She said so
She's in love with me and I feel fine
She's in love with me and I feel fine"
Let It Be,"When I find 
myself
 in 
times
 of trouble
Mother Mary 
comes
 to me
Speaking 
words
 of wisdom, let it be.
And in my hour of darkness
She is 
standing
 right in 
front
 of me
Speaking 
words
 of wisdom, let it be.
Let it be, let it be.
Let it be, let it be
Whisper 
words
 of wisdom, let it be.

And when the 
broken
 hearted people
Living in the 
world
 agree,
There will be an answer, let it be.
For 
though
 they may be 
parted
 there is
Still a 
chance
 that they will see
There will be an answer, let it be.
Let it be, let it be. Yeah
There will be an answer, let it be.

And when the 
night
 is cloudy,
There is 
still
 a 
light
 that 
shines
 on me,
Shine on 
until
 tomorrow, let it be.
I wake up to the 
sound
 of music
Mother Mary 
comes
 to me
Speaking 
words
 of wisdom, let it be.
Let it be, let it be.
There will be an answer, let it be.
Let it be, let it be,
Whisper 
words
 of wisdom, let it be."
"Hallelujah, I Love Her So","Let me tell you 'bout a girl I know
She is my baby and she 
lives
 next door
Every mornin' 'fore the sun 
comes
 up
She 
brings
 me 
coffee
 in my 
favorite
 cup
That's why I know, yes, I know
Hallelujah, I just love her so

When I'm in 
trouble
 and I have no friend
I know she'll go with me 
until
 the end
Everybody asks me how I know
I 
smile
 at them and say, ""She told me so""
That's why I know, oh, I know
Hallelujah, I just love her so

Now, if I call her on the telephone
And tell her that I'm all alone
By the time I 
count
 from one to four
I hear her - on my door

In the 
evening
 when the sun goes down
When 
there
 is 
nobody
 else around
She 
kisses
 me and she 
holds
 me tight
And 
tells
 me, ""Daddy, everything's all right""
That's why I know, yes, I know
Hallelujah, I just love her so

Now, if I call her on the telephone
And tell her that I'm all alone
By the time I 
count
 from one to four
I hear her - on my door

In the 
evening
 when the sun goes down
When 
there
 is 
nobody
 else around
She 
kisses
 me and she 
holds
 me tight
And 
tells
 me, ""Daddy, everything's all right""
That's why I know, yes, I know
Hallelujah, I just love her so
Oh, hallelujah
Don't you know, I just love her so?
She's my 
little
 woman, waitin' all this time
Babe, I'm a 
little
 fool for you, 
little
 girl"
Twist And Shout,"Well, 
shake
 it up, baby, now
Twist and shout
Come on, come on, come, come on, baby, now
Come on and work it on out
Well, work it on out, honey
You know you look so good
You know you got me goin' now
Just like I know you would

Well, 
shake
 it up, baby, now
Twist and shout
Come on, come on, come, come on, baby, now
Come on and work it on out
You know you twist, 
little
 girl
You know you 
twist
 so fine
Come on and 
twist
 a 
little
 closer now
And let me know that you're mine, woo

Ah, ah, ah, ah, wow
Baby, now
Twist and shout
Come on, come on, come, come on, baby, now
Come on and work it on out
You know you twist, 
little
 girl
You know you 
twist
 so fine
Come on and 
twist
 a 
little
 closer now
And let me know that you're mine
Well, 
shake
 it, 
shake
 it, 
shake
 it, baby, now
Well, 
shake
 it, 
shake
 it, 
shake
 it, baby, now
Well, 
shake
 it, 
shake
 it, 
shake
 it, baby, now
Ah, ah, ah, ah"
All My Loving,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll 
always
 be true
And then 
while
 I'm away
I'll 
write
 home 
every
 day
And I'll send all my lovin' to you

I'll 
pretend
 that I'm kissing
The lips I am missing
And hope that my 
dreams
 will come true
And then 
while
 I'm away
I'll 
write
 home 
every
 day
And I'll send all my lovin' to you

All my lovin', I will send to you
All my lovin', darlin', I'll be true

Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll 
always
 be true
And then 
while
 I'm away
I'll 
write
 home 
every
 day
And I'll send all my 
loving
 to you

All my lovin', I will send to you
All my lovin', darlin', I'll be true
All my lovin', all my lovin'
Ooh ooh, all my lovin', I will send to you"
I Saw Her Standing There,"(One, two, three, four)

Well, she was just seventeen
You know what I mean
And the way she looked
Was way 
beyond
 compare
So how 
could
 I 
dance
 with another
Ooh, when I saw her 
standing
 there?

Well, she 
looked
 at me
And I, I 
could
 see
That 
before
 too long
I'd fall in love with her
She wouldn't 
dance
 with another
Ooh, when I saw her 
standing
 there

Well, my 
heart
 went ""boom""
When I 
crossed
 that room
And I held her hand in mine

Oh we 
danced
 through the night
And we held each 
other
 tight
And 
before
 too long
I fell in love with her
Now I'll 
never
 dance with another
Ooh, 
since
 I saw her 
standing
 there

Well, my 
heart
 went ""boom""
When I 
crossed
 that room
And I held her hand in mine

Oh, we 
danced
 through the night
And we held each 
other
 tight
And 
before
 too long
I fell in love with her
Now I'll 
never
 dance with another
Oh, 
since
 I saw her 
standing
 there
Oh, 
since
 I saw her 
standing
 there
Yeah, well 
since
 I saw her 
standing
 there"
You Can't Do That,"I got 
something
 to say that 
might
 'cause you pain
If I 
catch
 you 
talking
 to that boy again
I'm 
gonna
 let you down
And 
leave
 you flat
Because I told you before, oh
You can't do that

Well, it's the 
second
 time I've 
caught
 you 
talking
 to him
Do I have to tell you one more time, I 
think
 it's a sin
I 
think
 I'll let you down (let you down)
And 
leave
 you flat
(Gonna let you down and 
leave
 you flat)
Because I've told you before, oh
You can't do that

Everybody's green
'Cause I'm the one, who won your love
But if they'd seen
You're 
talking
 that way they'd 
laugh
 in my face

So 
please
 listen to me, if you 
wanna
 stay mine
I can't help my feelings, I'll go out of my mind
I'm 
gonna
 let you down (let you down)
And 
leave
 you flat
(Gonna let you down and 
leave
 you flat)
Because I've told you before, oh, you can't do that

You can't do that
You can't do that
You can't do that
You can't do that
You can't do that

Everybody's green
'Cause I'm the one who won your love
But if they'd seen
You're 
talking
 that way they'd 
laugh
 in my face

So 
please
 listen to me, if you 
wanna
 stay mine
I can't help my feelings, I'll go out of my mind
I'm 
gonna
 let you down (let you down)
And 
leave
 you flat
(Gonna let you down and 
leave
 you flat)
Because I've told you before, oh
You can't do that"
Roll Over Beethoven,"Well, 
gonna
 write a 
little
 letter
Gonna mail it to my 
local
 D.J.
It's a rockin' 
little
 record
I want my 
jockey
 to play
Roll over Beethoven
Gotta hear it 
again
 today

You know my temperature's risin'
And the jukebox's 
blows
 a fuse
My heart's beatin' rhythm
And my soul 
keeps
 singing the blues
Roll over Beethoven
And tell 
Tchaikovsky
 the news

I got a rockin' pneumonia
I need a shot of 
rhythm
 and 
blues
 (ooh)
I 
think
 I got it off the writer
Sittin' down by the 
rhythm
 review
Roll over Beethoven
We're rockin' in two by two

Well, if you feel it and like it
Well, get your 
lover
 and reel and rock it
Roll it over and move on up
Just 
triffle
 further and reel and rock it
Roll it over
Roll over Beethoven
Rockin' in two by two (ooh)

Well, 
early
 in the mornin'
I'm a-givin' you the warnin'
Don't you step on my blue 
suede
 shoes
Hey 
little
 little
I'll play my fiddle
Ain't got 
nothing
 to lose
Roll over Beethoven
And tell 
Tchaikovsky
 the news

You know she 
winks
 like a glow worm
Dance like a spinnin' top
She's got a 
crazy
 partner
Oughta see 'em reel and rock
Long as she's got a dime
The 
music
 will 
never
 stop

Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Dig 
these
 rhythm and blues"
